Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1;1.0149;1.3166;1.6499;
2;1;1.0149;1.8693;3.8108;
3;1;1.0149;1.8996;3.9184;
4;1;1.0149;1.8999;3.9194;
5;1;1.0149;1.9002;3.9194;
