name;time_p;time_s;cpi_ratio;
/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/maqao_local/sobel_baseline/binaries/sobel;90.25;60.7;;
/usr/lib/x86_64-linux-gnu/libm.so.6;8.15;5.48;;
kernel;1.59;1.07;;
/usr/lib/x86_64-linux-gnu/libc.so.6;0;0;;
