loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
1;sobel;main;1;sobel.c:21-28;Innermost;36.98;1.08;1.08;1.08;1.08;0;0;1;
2;sobel;main;1;sobel.c:166-176;Innermost;24.92;0.73;0.73;0.73;0.73;0;0;1;
3;sobel;main;1;sobel.c:166-176;Innermost;0.1;0;0;0;0;0;0;1;
5;sobel;main;1;stdio2.h:105-293,rdtsc.h:9-11,sobel.c:21-337;Outermost;0.03;0;0;0;0;0;0;1;
4;sobel;main;1;rdtsc.h:11-11,sobel.c:164-176;InBetween;0.03;0;0;0;0;0;0;1;
