name;time_p;time_s;cpi_ratio;
/home/vidal/Desktop/AOC_oseret/Projet/AOC-Computer-vision/maqao_local/sobel_v2/binaries/sobel;62.07;1.82;;
kernel;37.76;1.11;;
/usr/lib/x86_64-linux-gnu/libc.so.6;0.14;0;;
/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2;0.03;0;;
